,date,changeinaccountspayable,changeinaccountsreceivable,changeininventory,depreciationamortization,other,stockbasedcompensation,ticker,deferredincometaxes,dividendspaid,effectofexchangeratechangesoncash,proceedsfromissuanceofdebt,repaymentsofdebt,capitalexpenditures,changeinaccruedexpenses,netcashprovidedbyfinancingactivities,netcashprovidedbyinvestingactivities,netcashprovidedbyoperatingactivities,netincreasedecreaseincash,repurchaseofstock,proceedsfromissuanceofstock
150,2024-06-30,0.0,,,45000000.0,795000000.0,0.0,AON,0.0,,0.0,0.0,,0.0,,,,,0.0,,
151,2024-03-31,-343000000.0,,,44000000.0,6467000000.0,130000000.0,AON,-76000000.0,,-146000000.0,25000000.0,,-48000000.0,,,,,463000000.0,,
152,2023-09-30,0.0,,,42000000.0,467000000.0,0.0,AON,0.0,,0.0,0.0,,0.0,,,,,0.0,,
153,2023-06-30,0.0,,,39000000.0,575000000.0,0.0,AON,0.0,,0.0,0.0,,0.0,,,,,0.0,,
154,2023-03-31,-443000000.0,,,38000000.0,1847000000.0,127000000.0,AON,-70000000.0,,58000000.0,25000000.0,,-76000000.0,,,,,1110000000.0,,
155,2022-09-30,0.0,,,71000000.0,424000000.0,0.0,AON,0.0,,0.0,0.0,,0.0,,,,,0.0,,
156,,,,6400000.0,366800000.0,-3316300000.0,16400000.0,APD,-6300000.0,-393600000.0,-38000000.0,,,,,,,,,,
157,,,,0.0,360300000.0,596600000.0,0.0,APD,0.0,0.0,0.0,,,,,,,,,,
158,,,,0.0,360800000.0,529400000.0,0.0,APD,0.0,0.0,0.0,,,,,,,,,,
159,,,,-48600000.0,349200000.0,1054200000.0,13800000.0,APD,13500000.0,-388900000.0,21800000.0,,,,,,,,,,
160,,,,0.0,339900000.0,654600000.0,0.0,APD,0.0,0.0,0.0,,,,,,,,,,
161,,,,0.0,339600000.0,625400000.0,0.0,APD,0.0,0.0,0.0,,,,,,,,,,
162,,,,-102800000.0,321500000.0,1285800000.0,16100000.0,APD,13800000.0,-359400000.0,42500000.0,,,,,,,,,,
163,2024-09-30,,,,201200000.0,476500000.0,0.0,APH,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,
164,2024-06-30,,,,123600000.0,-1714900000.0,0.0,APH,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,
165,2024-03-31,,,,103800000.0,761700000.0,23800000.0,APH,1900000.0,,-24200000.0,,,-94300000.0,,-176200000.0,-17000000.0,599500000.0,382100000.0,-153800000.0,
166,2023-09-30,,,,101000000.0,393200000.0,0.0,APH,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,
167,2023-06-30,,,,94100000.0,345700000.0,0.0,APH,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,
168,2023-03-31,,,,96300000.0,-13300000.0,21700000.0,APH,100000.0,,7600000.0,,,-97700000.0,,-265400000.0,-256600000.0,532400000.0,18000000.0,-166900000.0,
169,2022-09-30,,,,102700000.0,381400000.0,0.0,APH,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,
170,,,,,0.0,1769000000.0,,APO,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,
171,,,,,0.0,1177000000.0,,APO,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,
172,,,,,233000000.0,-6618000000.0,,APO,,,-2000000.0,,-524000000.0,,,18342000000.0,-16385000000.0,70000000.0,,-260000000.0,
173,,,,,0.0,640000000.0,,APO,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,
174,,,,,0.0,750000000.0,,APO,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,
175,,,,,0.0,-1174000000.0,,APO,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,
176,2024-09-30,0.0,0.0,,-99635000.0,434420000.0,0.0,APP,,,,0.0,,,,0.0,0.0,0.0,0.0,,
177,2024-06-30,0.0,0.0,,-108541000.0,309969000.0,0.0,APP,,,,0.0,,,,0.0,0.0,0.0,0.0,,
