,date,costofrevenue,epsbasic,epsdiluted,grossprofit,netincome,operatingincome,other,researchanddevelopment,sga,sharesoutstandingbasic,sharesoutstandingdiluted,taxexpensecredit,totalrevenue,ticker,interestexpense,interestincome,nonrecurringitems,depreciationamortization,minorityinterest,incometaxexpense
29,2024-11-30,-14741068000.0,,,,2278894000000000.0,2948477000000000.0,1.482196100871e+16,,2874352000000000.0,625676922.0,634656410.0,-639055000.0,1.7689545e+16,ACN,-30042000.0,76027000.0,-39217000.0,,,
30,2024-05-31,-13835963000.0,,,,1932183000000000.0,2630865000000000.0,1.3700167007400002e+16,,2790166000000000.0,628353267.0,635607597.0,-673022000.0,1.6466828e+16,ACN,-11334000.0,53690000.0,-18851000.0,,,
31,2024-02-29,-13753087000.0,,,,1674859000000000.0,2046427000000000.0,1.313219300658e+16,,2716633000000000.0,629016555.0,636797814.0,-386537000.0,1.5799514e+16,ACN,-10305000.0,65269000.0,-5652000.0,,,
32,2023-11-30,-13659416000.0,,,,1973444000000000.0,2564887000000000.0,1.353267900753e+16,,2743390000000000.0,627996111.0,637398361.0,-606672000.0,1.6224303e+16,ACN,-14495000.0,101980000.0,-35719000.0,,,
33,2023-05-31,-14205297000.0,,,,2009996000000000.0,2359288000000000.0,1.4014069007449998e+16,,2822909000000000.0,631535162.0,638743434.0,-583346000.0,1.6564585e+16,ACN,-11208000.0,81818000.0,201783000.0,,,
34,2023-02-28,-13869577000.0,,,,1523648000000000.0,1944581000000000.0,1.317068800593e+16,,2645795000000000.0,630845147.0,637735390.0,-396223000.0,1.5814158e+16,ACN,-11634000.0,50259000.0,-36300000.0,,,
35,2025-02-28,-2929000000.0,,,5092000000000000.0,438000000.0,2182000000000000.0,2188000000000000.0,1026000000.0,1862000000000000.0,,,-371000000.0,-622000000.0,ADBE,-62000000.0,,75000000.0,,,
36,2024-08-30,-2862000000.0,,,4854000000000000.0,448000000.0,2042000000000000.0,2054000000000000.0,1022000000.0,1797000000000000.0,,,-358000000.0,-554000000.0,ADBE,-51000000.0,,89000000.0,,,
37,2024-05-31,-2826000000.0,,,4711000000000000.0,451000000.0,1930000000000000.0,1934000000000000.0,984000000.0,1800000000000000.0,,,-357000000.0,-598000000.0,ADBE,-41000000.0,,82000000.0,,,
38,2024-03-01,-3685000000.0,,,4592000000000000.0,456000000.0,968000000000000.0,1986000000000000.0,939000000.0,1704000000000000.0,,,-348000000.0,-590000000.0,ADBE,-27000000.0,,70000000.0,,,
